AssignmentStatus,WorkTimeInSeconds,Input.case,Input.check,Answer.case,Answer.check,Answer.comments,Answer.quest,Answer.result1-1,Answer.result1-2,Answer.result1-3,Answer.result2-1,Answer.result2-2,Answer.result2-3,Answer.result3-1,Answer.result3-2,Answer.result3-3,Answer.result4-1,Answer.result4-2,Answer.result4-3,Answer.result5-1,Answer.result5-2,Answer.result5-3
Approved,149,81,1rir,81,1rir,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,202,124,3rri,124,3rri,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant
Approved,138,116,2rri,116,2rri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant
Approved,65,104,4rri,104,4rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,218,213,2rri,213,2rri,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,100,58,3irr,58,3irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,77,203,3rrr,203,3rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,358,131,4iri,131,4iri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant
Approved,361,196,5iir,196,5iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,60,196,5iir,196,5iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,493,108,3iir,108,3iir,"The ""Attention Check"" will be tough on those who don't read snippets!",o,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,535,90,5iir,90,5iir,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
