AssignmentStatus,WorkTimeInSeconds,Input.case,Input.check,Answer.case,Answer.check,Answer.comments,Answer.quest,Answer.result1-1,Answer.result1-2,Answer.result1-3,Answer.result2-1,Answer.result2-2,Answer.result2-3,Answer.result3-1,Answer.result3-2,Answer.result3-3,Answer.result4-1,Answer.result4-2,Answer.result4-3,Answer.result5-1,Answer.result5-2,Answer.result5-3
Approved,54,78,3rii,78,3rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,54,78,3rii,78,3rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,44,78,3rii,78,3rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,242,0,3irr,0,3irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,42,79,3rii,79,3rii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,437,79,3rii,79,3rii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,126,157,3rrr,157,3rrr,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,349,0,3irr,0,3irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,92,79,3rii,79,3rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,388,0,3irr,0,3irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,39,1,5iir,1,5iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,58,80,3rir,80,3rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant
Approved,208,80,3rir,80,3rir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,42,1,5iir,1,5iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
