AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer
Approved,114,"<p>'What, no ''Raspberry Jam''? Sounds like Lucas strikes again! -- You can't have a sense of humor, if you have no sense. [snip] From TFA: ''The two pieces look so alike they need to be dismantled or have an x-ray taken to tell them apart.'''</p>",0,"""No ""Raspberry Jam, what?"" it sounds like Lucas has struck again - If you have no sense, then you can't have a sense of humor. [snip] from TFA: ""Those two pieces look so similar that they must be taken apart or x-rayed to tell the difference."""
Approved,321,<p>A wide range of Raspberry Pi accessories at GearZap.com - order online before 6pm for same day dispatch of your item!</p>,1,Raspberry Pi accessories of a wide range at GearZap.com-order yours before 6 night for same day shipping of your item!
Approved,116,"<p>Category Archives: Raspberry Pi. Oh My, How To Buy / A Raspberry Pi / From Canada. Posted on March 13, 2012 by David Pankhurst · 5. OK, it's a bit of whimsy in the title here (I was aiming for a Haiku), but I've just ordered … Continue reading →. Posted in Raspberry Pi | 5 Replies</p>",2,"Raspberry Pi is in the category archives of this site. How would one buy a raspberry pi from Canada? On March 13, 2012, David Pankhurst rated this item a 5/5, saying that it was ""OK, there's a bit of whimsy in the title here as I was aiming for a haiku poem, but I've just ordered..."" This review was posted in Raspberry Pi, and there are 5 replies.  You may continue reading."
Approved,155,"<p>This morning, I experienced the nerd equivalent of a Black Friday $50 iPad sale. At 07:00 CET, the first batch of the much-anticipated Raspberry Pi went on sale, and while Raspberry Pi itself was very properly prepared, the two large international retailers actually selling the device weren't - despite warnings from Raspberry Pi about the enormous amount of traffic that would come their way, the two sites crumbled to dust within seconds.</p>",3,"I got to experience the effects of a Black Friday rush.  A few international retailers, although warned about the traffic that was caused, advertised that Raspberry Pi's would go on sale for a huge discount.  So come that morning, oh around 7, I went to check it and the sites were being crushed under the weight of interested shoppers."
Approved,75,<p>The US$35 Raspberry Pi single-board computer was launched and was promptly sold out. It was developed in the UK by the Raspberry Pi Foundation to encourage the teaching of basic computer science in schools.</p>,4,"This is the Raspberry Pi computer.  After launch, it sold out immediately.  Developed in the UK, the Raspberry Pi, was meant to teach basic computer science."
Approved,212,<p>'Raspberry Pi co-creator David Braben said a ''commercial'' version of his credit card-sized computer will be launched in 3Q12. Updated with a response from Eben Upton.'</p>,5,"David Braben, co-creator of the Raspberry Pi, stated that the company would launch a commercial version of mini computer in the third quarter of 2012. Eben Upton updated the response."
Approved,165,"<p>Les Miserables Tickets: Les Miserables is a musical based on the novel by the same name written by the French author Victor Hugo. The lyrics are by Alain Boublil and Jean-Marc Natel, the music is composed by Claude-Michel Schönberg, with English-language libretto by Herbert Kretzmer. The musical Les Miserables is produced by Cameron Macintosh, who is one of the most famous producers with more musicals than anyone else, including the three longest running musicals of all time - The Phantom of the Opera, Cats and Les Miserables.</p>",6,"Les Miserables is a musical based on a novel written by Victor Hugo, a French author. The lyrics of the musical were written by Alain Boublil and Jean-Marc Natel, while the music was by composer Claude-Michel Schonberg. English-language libretto was written by Herbert Kretzmer. The musical was produced by Cameron Macintosh, who has produced more musicals than any other producer, including three of the longest running musicals in history. These are the Phantom of the Opera, Les Miserables, and Cats."
Approved,111,"<p>Francis Lai: The Essential Film Music Collection Music composed and conducted by Francis Lai. 20 Tracks (Playing Time = 68:54) Album produced by Susumu Morikawa and Yuki Miyazaki. Recorded at Les Studios de la Seine, Paris, November 2009. Recording engineered by Fabrice Maria. Music mixed by Celmar Engel.</p>",7,"Recording enginerred by Fabrice Maria. Album produced by Susumu Morkiawa and Yuki Miyazaki. Racis Lai: The Essential Film Music Collection Music composed and conducted by Francis Lai. Music mixed by Celmar Engel. November 2009. Recodrded in Les Studios de la Seine, Paris. Playing time is 68:54. 20 Tracks."
Approved,125,"<p>But many viewings of the trailer for the new film interpretation of Les Miserables – due out Christmas 2012 – force a more considered analysis of my concerns. </p><p>How about the nauseating ad campaign for last season’s Gossip Girl, depicting teenagers in the throes of hot, mind-blowing sex (complete with the tag lines “OMFG” and “Every Parent’s Nightmare”)?</p>",8,"There have been many viewings of the trailer for the new version of Les Miserables.  I personally am concerned about it all.

What is the deal with the ads for shows like Gossip Girl?  Teens are shown having or about to have sex.  The ad execs know that parents freak out about this."
Approved,196,"<p>LES MISERABLES. Cameron Mackintosh presents a brand new 25th anniversary production of Boublil & Schönberg’s legendary musical, LES MISÉRABLES, with glorious new staging and spectacular reimagined scenery inspired by the paintings of Victor Hugo. This new production has already been acclaimed by critics, fans and new audiences and is breaking box office records wherever it goes.</p>",9,"Cameron Mackintosh presents a new 25th anniversary production of Boubil & Schonberg's musical, LES MISERABLES. There is nre staging, reimagined scenary inspired by Victor hugo. Critics, fans, and new audiences love it."
